 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 074 Poliomielite
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"33 Rio de Janeiro";...;90,96;76,30;98,15;102,14;101,67;93,98;94,07;111,61;111,46;108,27;118,98;103,95;112,08;108,31;109,39;106,87;112,15;96,87;99,95;100,89;107,03;89,93;88,92;86,98;32,47;98,38
"35 São Paulo";...;97,00;101,36;106,69;114,70;112,18;102,35;103,34;95,89;98,31;98,19;96,74;99,93;98,67;96,60;99,10;96,60;100,30;96,44;98,95;95,73;99,68;83,84;87,21;91,10;52,48;96,95
"41 Paraná";...;70,01;91,28;97,90;96,47;92,91;104,42;105,76;102,67;103,38;99,66;99,65;103,49;102,69;96,32;100,36;99,60;102,50;96,78;104,65;98,76;97,39;87,54;89,73;87,72;57,81;95,33
"42 Santa Catarina";87,00;97,47;83,81;94,32;88,54;92,97;102,57;105,67;99,10;101,54;100,27;101,37;101,03;104,07;96,82;102,55;98,82;101,18;99,97;97,78;97,17;102,43;92,12;90,64;91,32;59,36;95,31
"43 Rio Grande do Sul";...;96,69;79,90;91,24;87,38;94,68;97,37;98,15;93,52;96,20;95,04;97,64;99,10;99,89;93,33;95,28;92,34;95,07;89,40;100,28;95,42;89,20;84,46;85,60;84,09;55,73;91,46
"50 Mato Grosso do Sul";...;...;68,82;80,17;93,79;97,52;112,63;111,29;114,34;107,08;99,47;100,48;104,61;104,83;96,87;106,10;99,64;95,54;102,28;118,01;130,10;120,36;93,78;91,11;95,03;56,75;99,66
"51 Mato Grosso";48,25;58,58;68,61;104,25;109,78;111,50;125,46;117,54;111,61;108,27;109,45;112,94;109,60;112,30;104,55;107,67;100,40;103,22;99,50;101,20;102,47;102,81;90,64;84,56;90,40;52,50;96,64
"52 Goiás";37,28;85,64;82,35;68,33;91,10;98,08;107,12;101,08;99,28;104,13;111,97;104,03;110,61;112,35;104,30;105,20;100,56;107,11;101,00;107,69;97,65;95,88;82,10;83,74;84,76;53,21;92,72
"53 Distrito Federal";...;-;105,49;107,50;127,57;126,08;99,53;97,51;97,23;96,96;101,10;96,60;101,83;100,31;99,18;101,97;94,20;86,48;93,65;112,17;94,34;74,92;136,83;88,47;83,35;54,26;95,00
"Total";58,23;77,82;80,85;89,27;95,30;99,08;101,44;102,83;100,01;100,48;104,30;105,12;105,25;105,43;100,18;103,66;99,35;101,33;96,55;100,71;96,76;98,29;84,43;84,27;88,17;51,54;94,18
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

