 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 072 BCG
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"53 Distrito Federal";-;720;59238;65566;60820;65233;61784;57632;53535;53340;52597;50179;49407;47040;47672;49081;49799;43221;46791;57898;49377;34839;61673;44022;38973;28420;1228857
"Total";1442773;3118425;3250708;3709941;3568228;3813081;3772892;3643993;3542563;3465048;3425750;3472248;3328774;3211520;3196210;3131159;3070853;3108763;3044007;3129807;3116296;3049524;2843993;2890591;2789273;1547820;81684240
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

